MARYLAND ......................................,10,16,8,15,14,32,28,37,58,75,293
NORTHWEST AREA ........................,0,1,0,1,2,4,1,4,3,5,21
GARRETT .....................................,0,0,0,0,0,0,0,0,0,0,0
ALLEGANY ....................................,0,0,0,0,0,0,0,0,0,0,0
WASHINGTON ..............................,0,0,0,0,1,0,1,0,0,2,4
FREDERICK ..................................,0,1,0,1,1,4,0,4,3,3,17
BALTIMORE METRO AREA ............,4,7,4,3,2,11,8,9,23,19,90
BALTIMORE CITY .........................,1,2,1,1,1,2,2,3,8,5,26
BALTIMORE COUNTY ..................,0,1,1,0,0,2,1,0,2,2,9
ANNE ARUNDEL ..........................,3,2,1,1,1,6,5,5,11,10,45
CARROLL ......................................,0,1,0,0,0,0,0,0,0,0,1
HOWARD ......................................,0,1,1,1,0,1,0,1,2,1,8
HARFORD .....................................,0,0,0,0,0,0,0,0,0,1,1
NATIONAL CAPITAL AREA .............,4,6,3,10,8,13,16,20,25,41,146
MONTGOMERY ............................,2,1,0,1,1,2,2,4,2,10,25
PRINCE GEORGE’S .....................,2,5,3,9,7,11,14,16,23,31,121
SOUTHERN AREA ...........................,1,2,1,1,2,3,2,4,6,8,30
CALVERT ......................................,1,0,0,0,1,0,2,1,2,3,10
CHARLES ......................................,0,2,1,1,0,3,0,3,4,4,18
ST MARY’S ...................................,0,0,0,0,1,0,0,0,0,1,2
EASTERN SHORE AREA ................,1,0,0,0,0,1,1,0,1,2,6
CECIL ............................................,0,0,0,0,0,0,0,0,1,0,1
KENT .............................................,0,0,0,0,0,0,0,0,0,0,0
QUEEN ANNE’S ............................,0,0,0,0,0,0,0,0,0,0,0
CAROLINE ....................................,0,0,0,0,0,0,0,0,0,0,0
TALBOT .........................................,0,0,0,0,0,0,0,0,0,1,1
DORCHESTER .............................,1,0,0,0,0,0,0,0,0,0,1
WICOMICO ...................................,0,0,0,0,0,1,1,0,0,1,3
SOMERSET ..................................,0,0,0,0,0,0,0,0,0,0,0
WORCESTER ...............................,0,0,0,0,0,0,0,0,0,0,0
